,Author,Title,Journal,Year of publication,DOI number,Scholar Links
0, G.Q. Xiao et al., High intensity heavy ion accelerator facility (HIAF) in China, Nucl Instrum Meth A,2013,https://doi.org/10.1016%2Fj.nimb.2013.08.046,http://scholar.google.com/scholar_lookup?&title=High%20intensity%20heavy%20ion%20accelerator%20facility%20%28HIAF%29%20in%20China&journal=Nucl.%20Instrum.%20Meth.%20A.&doi=10.1016%2Fj.nimb.2013.08.046&volume=317&pages=263-265&publication_year=2013&author=Yang%2CJC&author=Xia%2CJW&author=Xiao%2CGQ
1,No Data Found, Construction of the high intensity heavy-ion accelerator facility (HIAF), AAPPS Bull,2019,No DOI,http://scholar.google.com/scholar_lookup?&title=Construction%20of%20the%20high%20intensity%20heavy-ion%20accelerator%20facility%20%28HIAF%29&journal=AAPPS%20Bull.&volume=29&issue=2&pages=6-12&publication_year=2019&author=Zhou%2CXH
2, Y. Yang et al., Status of intense permanent magnet proton source for China-accelerator driven subcritical system Linac, Rev Sci Instrum,2016,https://doi.org/10.1063%2F1.4932314,http://scholar.google.com/scholar_lookup?&title=Status%20of%20intense%20permanent%20magnet%20proton%20source%20for%20China-accelerator%20driven%20subcritical%20system%20Linac&journal=Rev.%20Sci.%20Instrum.&doi=10.1063%2F1.4932314&volume=87&publication_year=2016&author=Wu%2CQ&author=Ma%2CHY&author=Yang%2CY
3, W. Lu et al., Advancement of highly-charged ion beam production by superconducting ECR ion source SECRAL, Rev Sci Instrum,2016,https://doi.org/10.1063%2F1.4933123,http://scholar.google.com/scholar_lookup?&title=Advancement%20of%20highly-charged%20ion%20beam%20production%20by%20superconducting%20ECR%20ion%20source%20SECRAL&journal=Rev.%20Sci.%20Instrum.&doi=10.1063%2F1.4933123&volume=87&publication_year=2016&author=Sun%2CL&author=Guo%2CJW&author=Lu%2CW
4, Yokohama, 2015),,No Data Found,No DOI,http://scholar.google.com/scholar_lookup?&title=Challenges%20for%20the%20next-generation%20ECRIS.%20Proceedings%20of%20HIAT%C2%A02015&pages=268-270&publication_year=2015&author=Sun%2CL&author=Zhao%2CHW&author=Guo%2CJW
5, H.W. Zhao et al., Progress on the development of key technologies for the fourth generation ECR ion source FECR, J Phys Conf Ser,2022,https://doi.org/10.1088%2F1742-6596%2F2244%2F1%2F012021,http://scholar.google.com/scholar_lookup?&title=Progress%20on%20the%20development%20of%20key%20technologies%20for%20the%20fourth%20generation%20ECR%20ion%20source%20FECR&journal=J.%20Phys.%20Conf.%20Ser.&doi=10.1088%2F1742-6596%2F2244%2F1%2F012021&volume=2244&publication_year=2022&author=Sun%2CL&author=Lu%2CW&author=Zhao%2CHW
6, Z. Wang et al., Beam dynamics design of HIAF RFQ, Inter J Mod Phys,2021,https://doi.org/10.1142%2FS0218301321501044,http://scholar.google.com/scholar_lookup?&title=Beam%20dynamics%20design%20of%20HIAF%20RFQ&journal=Inter.%20J.%20Mod.%20Phys.%20E&doi=10.1142%2FS0218301321501044&volume=30&issue=12&publication_year=2021&author=Wang%2CC&author=Dou%2CW&author=Wang%2CZ
7, G.H. Rees, Multiturn injection and lattice design for HIDIF, Nucl Instrum Meth A,1998,https://doi.org/10.1016%2FS0168-9002%2898%2900406-9,http://scholar.google.com/scholar_lookup?&title=Multiturn%20injection%20and%20lattice%20design%20for%20HIDIF&journal=Nucl.%20Instrum.%20Meth.%20A.&doi=10.1016%2FS0168-9002%2898%2900406-9&volume=415&pages=357-362&publication_year=1998&author=Prior%2CCR&author=Rees%2CGH
8, J.A. Wheeler, The mechanism of nuclear fission, Phys Rev,1939,https://doi.org/10.1103%2FPhysRev.56.426,http://scholar.google.com/scholar_lookup?&title=The%20mechanism%20of%20nuclear%20fission&journal=Phys.%20Rev.&doi=10.1103%2FPhysRev.56.426&volume=56&pages=426-450&publication_year=1939&author=Bohr%2CN&author=Wheeler%2CJA
9, A.S. Jensen et al., Funny Hills: the shell-correction approach to nuclear shell effects and its applications to the fission process, Rev Mod Phys,1972,https://doi.org/10.1103%2FRevModPhys.44.320,http://scholar.google.com/scholar_lookup?&title=Funny%20Hills%3A%20the%20shell-correction%20approach%20to%20nuclear%20shell%20effects%20and%20its%20applications%20to%20the%20fission%20process&journal=Rev.%20Mod.%20Phys.&doi=10.1103%2FRevModPhys.44.320&volume=44&pages=320-405&publication_year=1972&author=Brack%2CM&author=Damgaard%2CJ&author=Jensen%2CAS
10,No Data Found, Shell effects in nuclear masses and deformation energies, Nucl Phys,1967,https://doi.org/10.1016%2F0375-9474%2867%2990510-6,http://scholar.google.com/scholar_lookup?&title=Shell%20effects%20in%20nuclear%20masses%20and%20deformation%20energies&journal=Nucl.%20Phys.%20A&doi=10.1016%2F0375-9474%2867%2990510-6&volume=95&pages=420-442&publication_year=1967&author=Strutinsky%2CVM
11, A. Sobiczewski et al., On the nuclear structure and stability of heavy and super-heavy elements, Nucl Phys,1969,https://doi.org/10.1016%2F0375-9474%2869%2990809-4,http://scholar.google.com/scholar_lookup?&title=On%20the%20nuclear%20structure%20and%20stability%20of%20heavy%20and%20super-heavy%20elements&journal=Nucl.%20Phys.%20A&doi=10.1016%2F0375-9474%2869%2990809-4&volume=131&pages=1-66&publication_year=1969&author=Nilsson%2CSG&author=Tsang%2CCF&author=Sobiczewski%2CA
